歌名,署名,性別,wp/fe 引文,問題(含引文),M1 將女性化約為身體部位與可品評物件,M2 以命令句指揮女性的身體與行為,M3 男性單一視角代言，女性全程無聲,M4 金錢供養與親密關係的交易腳本,M5 性的雙重標準與貞潔敘事,M6 挪用女性賦權語彙並掏空其意涵,M7 架空拒絕與同意,M8 「紅顏禍水」式的歸咎敘事,M9 男性自居評價者、授權者與守門人,M10 單向忠誠要求與占有控制,M11 貶抑其他女性以襯托眼前對象、將女性可替換化,M12 動物化、幼體化與馴服框架,M13 以性征服炫耀男性氣概、將性框架為男性間的較量,F1 厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,F2 陰性即侮辱、陽剛即力量的語言階序,F3 以男性為戰利品的女性敵對競爭,F4 男性過錯的責任轉嫁至女性,F5 性—資源交易腳本,F6 消費化的賦權——以財富與奢侈品界定自主與尊重,F7 身體的部位化與商品化自我物化,F8 自主宣言與男性凝視背書的矛盾結構,F9 權力位置的翻轉而非拆解,F10 冷硬無情等於力量的情感規訓,F11 照顧、隱忍與依附的浪漫化,F12 同意界線的模糊與施壓,F13 支配—臣服腳本的情慾化,F14 好女人／壞女人的分類與自我切割,X1 貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,X2 女性被化約為身體部位與性功能,X3 性與親密關係的金錢交易化,X4 所有格宣示與男性間較勁的戰利品邏輯,X5 女性作為可計數、可挑選、可丟棄的可替換品,X6 性同意的消解與性資格感,X7 命令句驅使女性進行性化的身體表演,X8 女聲的自我賦權以貶抑其他女性為代價,X9 以男性為軸心的女女敵對競爭,X10 「陰性＝低劣」的象徵階序,X11 女性犧牲、忍耐與自我消耗的神聖化,X12 男性免責與女性承擔善後,X13 女性失語與男性代言、救世主敘事,X14 女性情緒的病理化與噤聲規訓,X15 女性自我價值錨定於男性凝視與慾望,X16 聖女／蕩婦二分與性的雙重標準
Messy,Lola Young,female,"A thousand people I could be for you, and you hate the fucking lot
I want to be me, is that not allowed?",僅單獨提及:歌詞將「不夠瘦」與抽菸等惡習並列為需對方寬容的個人過錯，內化「女性應纖瘦」的身材規範、以「pull a Britney」戲謔指稱自己失控，將女性公眾人物的精神健康危機化約為玩笑代名詞，延續對女性心理崩潰的消費與嘲弄,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money,Cardi B,female,"All a bad bitch need is the (Money)
Sweet like a honey bun, spit like a Tommy gun","1. 全曲反覆以「bitch」作為對女性（含自稱與稱呼其他女性）的稱呼，將侮辱女性的性別化詈詞常態化；即使可解讀為詞語挪用，文本中此詞多次出現在貶抑或敵意脈絡，仍複製以侮辱性字眼定義女性的語言結構。（3/3）
   - 「Look, my bitches all bad, my niggas all real」
   - 「Cold ass bitch, I give Ross chills」
   - 「All a bad bitch need is the (Money)」
   - 「All y'all bitches in trouble」
   - 「Let a bitch try me, boom」
2. 以帶蕩婦羞辱意味的「thottie」稱呼同行女性，並以外貌與身材作為挑選、攜帶女性的標準，將其他女性物化為可帶走、供觀賞與炫耀身分的配件，複製男性凝視的打量邏輯。（3/3）
   - 「Walk out Follie's with a bitch / Bring a thottie to the whip / If she fine or she thick, goddamn」
3. 將女性身體的性化展演（搖臀）與獲取金錢直接掛鉤，把「搖臀換錢」呈現為女性獲利的公式化途徑；雖可讀為身體自主與經濟能動性，仍有再生產「女性身體＝商品」腳本之虞。（3/3）
   - 「Shake that little ass (Money) / Get a little bag and take it to the store (Store, money)」
   - 「Get a little cash (Money) / Shake it real fast and get a little more (Money)」
4. 敘事者對其他女性的態度以敵意、威嚇、暴力與階序壓制為主，呈現女性之間互相敵對而非姊妹連帶與團結，複製讓女性彼此為敵的框架。（3/3）
   - 「All y'all bitches in trouble / Bring brass knuckles to the scuffle」
   - 「Bitch, I will black on your ass」
   - 「Cardi at the tip-top, bitch / Kiss the ring and kick rocks, sis」
5. 將親密與性互動框定為金錢交易，以性與身體作為向男性索取金錢的交換籌碼，強化「男性出錢、女性以性回報」的傳統性別化交易結構。（2/3）
   - 「Jump it down, back it up (Ooh, ayy) / Make that nigga put down 2K」
   - 「I like my niggas dark like D'usse / You gonna eat this ass like soup (Ayy)」
僅單獨提及：反覆將女性慾望窄化為金錢與物質，有強化「女性＝拜金」刻板印象的風險、以性功能與膚色偏好將男性化約為慾望客體，物化邏輯僅是性別對調而非被拆解。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,,✓,,✓,,,,,,,,✓,✓,✓,,,,,✓,,,,,,,,
MotorSport,"Migos, Nicki Minaj & Cardi B",mixed,"I don't wanna hear I'm actin' different (yeah)
Why would I hop in some beef? (Why?) / When I could just hop in a Porsche?
Yeah, Cardi B, I'm back, bitches
I'm the trap Selena
I'm with a couple bad bitches that'll rip the party","1. 將女性物化為可供男性把玩、開啟、消費的物品，以開瓶動作比喻對女性的性征服，剝奪其主體性（3/3）：「Shawty bad (bad), pop her like a cork (pop it)」
2. 將女性視為男性的所有物與男性之間可奪取的戰利品，「broad」一詞本身帶貶義，並以剝奪女性的選擇與行動自由（「她回不去」）為炫耀資本（3/3）：「Take the air out your broad (hey), now she can't go back」
3. 將與女性的關係金錢化，女性被呈現為以花費供養、彰顯男性財力的展示品（3/3）：「Hundred K, I spend on my señora (racks)」
4. 男性聲部對女性合作歌手進行職場性騷擾式的性化想像，把專業同行化約為胸部與性器官，並將玩弄其身體與商業利益（唱片銷量）掛鉤，將女性的性當成商業籌碼（3/3）：「If Nicki should show me her titty / Right hand on the Bible / I swear I won't tell (swear)」、「If I get to play with that kitty / I wonder how many platinums we gon' sell (albums)」
5. 通篇以「bitch」「bitches」等辱女詞彙泛稱、貶低女性，男性聲部並以拒絕承諾將女性視為可拋棄、不值得承諾的對象（3/3）：「Ain't make no commitment with none of you bitches / 'Cause money is treatin' me well」、「I'm boujee, so bitch, don't get near (boujee)」
6. 女性聲部呈現內化的厭女，沿用「hoes」等父權語彙，以蕩婦羞辱與身體羞辱（指涉性器官氣味）作為攻擊其他女性的武器，複製以身體貶低女性的厭女修辭（3/3）：「These hoes ain't what they say they are / And they pussy stink, they catfishin' (stank)」、「Bitches is pressed, administer mouth to mouth」
7. 女性聲部將女性之間的衝突框定為「看好你的男人」的爭奪戰，暗示女性敵對源於對男性的競爭，並以攻擊外貌（假髮）貶低其他女性，強化女性互鬥的父權敘事（3/3）：「Uh, yo, watch your man / Then you should watch your mouth」、「My crown won't fit on your bum ass lace fronts (uh)」、「Bitch, you my son, go and sit on the potty (rrrr)」
僅單獨提及：將女性名人布蘭妮之名與「suicide」並置作為押韻笑哏、把其人生際遇化為娛樂性punchline（「Suicide doors, Britney Spears」）、對其他女性發出致命暴力威脅並以肢體暴力展現地位（「You bitches catchin' a fade… you can get hit with that Uzi」）、女性聲部展現性主動的段落仍部分建立在以性服務換取男性關注與金錢的框架上（「Get you a straw nigga, you know this pussy is juicy」）。",✓,,,✓,,,,,,,,,✓,,,✓,,,,,,,,,,,,✓,✓,✓,✓,,,,✓,✓,,,,,,,
My Type,Saweetie,female,"Bust down wrist, not a bust down bitch
Bitch, I'm the boss
Pussy dripping ice, he get flown out to me","1. 以「basic hoes」「bust down bitch」等蔑稱貶低、攻擊其他女性，並預設女性間必為爭奪男人而相互猜忌，強化女性之間的敵對與「好女人／壞女人」的階層對立（3/3）：「I can see why, all these basic hoes pissed」、「Said I want your man, no the fuck I don't sis」、「You ain't never had a bitch from Slauson」。
2. 蕩婦羞辱與雙重標準：一面高調宣示自身性自主，一面以「我不是那種女人」的修辭與性活躍女性劃清界線、踩低他人抬高自己，複製父權對女性性行為的評價標準（3/3）：「Bust down wrist, not a bust down bitch」、「Never been a quick fuck, more so a ticket」、「Bad bitch, I'ma ride the dick all night」。
3. 將親密關係與女性價值建立在與男性財富的交換邏輯上，以男方資產為擇偶首要條件，並將性框定為換取金錢與禮遇的籌碼，複製父權下「女性以性換取資源」的交易式性別腳本，即便以主動姿態呈現仍未跳脫該邏輯（3/3）：「Rich nigga, eight figure, that's my type」、「I want a man with the B's」、「Pussy dripping ice, he get flown out to me」、「Pussy from the bank, goin' dumb on the D」、「If he a rich nigga, why he still hitting licks?」。
4. 通篇以「bitch」「hoes」等貶抑女性的語彙指稱女性（包括自稱），即使部分屬自我挪用式的「收編」，文本中同一詞彙亦用於攻擊他人，使以女性性別為侮辱的語言慣習常態化、削弱挪用的解放意涵（2/3）：「Bitch please (Bitch)」、「all these basic hoes pissed」、「That's the type of shit that make a bitch DTD」。
5. 以物化邏輯回敬男性，將男性化約為財力數字與性器尺寸；僅把物化的對象反轉並未挑戰物化本身，仍鞏固「人＝身體零件與資產」的框架（3/3）：「8 inch big, ooh, that's real pipe」、「I just need good dick」、「Rich nigga, eight figure, that's my type」。
6. 帶有種族化的性刻板印象，將黑人男性身體異化、戀物化並化約為性器符號，屬交織性（種族×性別）層面的問題（2/3）：「I like a BBC in some BBC」。
7. 文本內部自我矛盾：一面宣稱不挑對象、不設條件，一面實際以八位數財富為擇偶前提，顯示所謂「品味」與自主選擇仍受金錢與性器框架支配，慾望被窄化為此兩項，削弱其「主體選擇／賦權」的說服力（3/3）：「I don't really got a type, don't discriminate / I just need good dick, ayy」對照「Rich nigga, eight figure, that's my type」。
僅單獨提及：歌者將自身價值主要建立在外貌、珠寶、名車等消費符號與「性能力」展示上，屬自我商品化與自我物化。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,✓,,✓,,,,✓,,,,,✓,✓,,✓,,,,,✓,✓,,,,,,,✓
Need To Know,Doja Cat,female,Tryna see if you could handle this ass,"1. 貶抑並抹除另一名女性（對方伴侶）的存在與聲音，把女性擺在為爭奪同一男性而互相敵對、踐踏的位置，違背女性連帶（3/3）：「Give a fuck 'bout what your wifey's sayin' (yeah)」
2. 女性的性表達被框定為服務、取悅男性快感的表演，把自身價值繫於「取悅他」的能力，甚至以家務勞動意象自況，並在最私密的性愛情境中仍須維持妝容，迎合男性凝視下的外貌要求（3/3）：「I do what I can to get you off (I will)」、「Might just fuck him with my makeup on (I will)」、「Eat it like I need an apron on」、「I got a lotta new tricks for you / Baby, just sayin' I'm flexible」、「Tryna see if you could handle this ass」
3. 陽具中心的性想像，把性化約為男性陰莖及其尺寸的給予與接收，以尺寸與評分把人化約為性器官；女性的慾望被定義為圍繞、評量並等待陰莖，此種邏輯僅是把物化反向套用，複製而非挑戰物化本身（3/3）：「Baby, come throw the pipe (pipe)」、「What's your size? (Size) / Add, subtract, divide ('vide)」、「That that dick was a ten out of ten」、「Baby, show me what it's like (like)」、「gimme the dick」
4. 以「Daddy」稱呼性對象，將父權式的上下位權力階序情慾化，複製男性支配、女性順從的親密關係腳本（3/3）：「Daddy don't throw no curves (curves)」
僅單獨提及：為引起男性勃起而道歉、把男性性反應歸責於女性身體；以他人眼神逕行解讀為性邀約、模糊明確同意的界線；在全無協商與同意框架下把忍受性愛中的暴力浪漫化為性魅力的證明。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,,,✓,,,,✓,,,,,,,,,,✓,,,,,,✓,
Needed Me,Rihanna,female,"Didn't they tell you that I was a savage?
I was good on my own, that's the way it was","1. 開場口白以針對女性的貶稱「ho」作為口號式慣用語，在歌曲一開頭即將厭女語彙常態化、娛樂化。（3/3）引文：「Mustard on the beat ho!」
2. 敘事者（女性聲音）以厭女詞彙「bitch」自我命名建構力量感；即使帶有挪用翻轉意圖，女性的強悍與魅力仍須借用根源於貶低女性的語言來表述，未跳脫以貶稱框架女性的語言邏輯，屬內化的厭女修辭。（3/3）引文：「Tryna fix your inner issues with a bad bitch」
3. 歌中的「女性賦權」實為權力位置的單純翻轉而非對物化邏輯的拆解——把對方化約為征服名單上的戰利品、可拋棄的一次性性對象，以「反向物化」複製父權式的性征服與支配結構，並未挑戰「以性征服計分」的性別化權力模式本身。（3/3）引文：「You was just another nigga on the hit list」、「You was good on the low for a faded fuck, / On some faded love」
4. 將女性的力量等同於冷酷、情感封閉與刻意的不對等付出，把「無情、少付出、令對方依賴需索」當作力量證明，實質是採納傳統陽剛支配腳本（壓抑情感、以他人依賴為權力來源）作為女性解放的樣板，窄化了女性自主的想像。（3/3）引文：「To feel a little more, and give a little less」、「Didn't they tell you that I was a savage?」、「You needed me」
僅單獨提及：以譏諷「你竟然有感情、有需求」的羞辱式口吻確立優越（「Shit, what the fuck you complaining for? / Feeling jaded huh?」），等於再度貶低長期被性別化、被貶值的依附與脆弱特質。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,✓,✓,,,,,✓,,,,,,,,,,,,,,,
Never Lose Me,Flo Milli,female,"Never had a bitch like me in your life
Raw bitch, ain't never been a groupie","1. 以「bitch」「ho」等貶抑性字眼自稱與指涉女性，即使帶有挪用意味，仍屬內化厭女語彙，強化以侮辱性語言定義女性的框架（3/3）——「Never had a bitch like me in your life / You ain't never had a bitch like me in your life, uh」、「Doin' good, bitch, I'm gucci (I'm good)」、「If you try me, ho, it's on sight」。
2. 情感核心是反覆乞求男性保證不離開，將女性的安全感與自我肯定完全繫於男性的承諾與留下，副歌以同一句懇求連續重複多次（3/3）——「Tell me you don't never wanna lose me / Tell me you don't never wanna lose me」（整段副歌連續重複七次）、「Tell me you ain't never ever leavin' (No)」。
3. 敘事者的價值、享受與「被善待」皆由男性財富與消費供給，呈現「男性供養、女性受供」的依附式性別交換結構（3/3）——「Fly to Asia, he feedin' me sushi (Ooh)」、「He speed in the Wraith while his hand on my coochie (Yeah) / He touchin' Emilio Pucci」、「We havin' rich sex on a boat」、「How you gon' prove you could treat me right?」。
4. 對其他女性展現敵意甚至暴力威脅，把「為男人打架」當作值得誇耀的事，將女性塑造成爭奪男性的競爭者而非盟友，複製父權下「女人為男人互鬥」的腳本（3/3）——「I like to fight over dick, ho, don't get hit with the two-piece (Two-piece)」、「If you try me, ho, it's on sight」、「Yeah, he my man, he was never your type」。
5. 藉切割、貶低「groupie」（追星女）等其他女性來抬高自己，屬蕩婦羞辱式的分化，隱含「好女人／壞女人」的性階序二分，仍以男性視角評價女性（3/3）——「Raw bitch, ain't never been a groupie」、「Stiff on a ho, I like my nigga bougie (Yeah)」。
6. 性場景以取悅、服務男性為導向，性成為換取承諾與挽留男性的籌碼，性服務與「別離開我」的懇求直接連結，弱化了看似主動的性能動性（3/3）——「When I suck it, I look in your eyes (Yeah)」緊接「Tell me you ain't never ever leavin' (No)」、「You better fuck me like you mean it (Fuck me like you mean it)」、「How you gon' prove you could treat me right?」。
僅單獨提及：女性價值建立在男性的擁有與評價之上，將自身定義為男性經驗中的收藏品。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,✓,,✓,,,,,,✓,,,✓,✓,,✓,,,,,✓,✓,,,,,,,✓
New Rules,Dua Lipa,female,"And if you're under him, you ain't gettin' over him
I got new rules, I count 'em",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice For What,Drake,male,"You gotta, be nice for what, to these niggas?
That's a real one in your reflection
You really pipin' up on these niggas","1. 使用貶抑女性的詞彙「hoes」（蕩婦），並藉貶低其他女性來襯托歌中女子，挑動女性間的敵意與比較。（3/3）引文：「Hoes talk down, you don't see 'em outside / Yeah, they don't really be the same offline」、「These hoes! (They mad!)」
2. 以命令式歌詞要求女性擺弄身體、供人觀看，將女性物化為可供指揮的表演對象，焦點集中於臀部與姿態展示，落入男性凝視。（3/3）引文：「Bend it over, lift it up, bend it over, lift it up / Make that jump, jump」、「Gotta hit the club, gotta make that ass jump」
3. 男性敘事者自居評估者與授權者的位置，女性的價值與自我展現須經男性審核、首肯才「沒關係」，並以帶窺視意味的口吻描述其私生活，使「稱讚獨立女性」仍架構在男性凝視與裁決之上。（3/3）引文：「I've been peepin' what you bringin' to the table」、「And you showin' off, but it's alright (alright!)」、「You've been inside, know you like to lay low」
4. 男性代替女性發言、替她定義慾望與需求，剝奪其主體性，並以輕慢、物化的稱呼與性暗示指涉其身體——「shorty」是對女性的輕慢稱呼，「that thing」將女性身體化約為一件物品。（3/3）引文：「I know shorty and she doesn't want no slow song」、「Haven't let that thing loose, girl, in so long」
5. 對女性的肯定仍以外貌吸引力為核心標準，將「bad」（漂亮）當作女性價值的度量，並以名車、金錢等消費符號羅列其價值。（3/3）引文：「High school pics, you was even bad then」、「You got a hunnid bands / You got a baby Benz」
6. 取樣的女性聲部呈現為愛付出、苦苦哀求的依附者形象，被單方面要求付出、奉獻乃至犧牲，而男性聲部居於評論、開導、指揮的位置，甚至將其痛苦輕描淡寫為狂歡背景，使女性的受傷與哀求被消費為派對氣氛，固化「女性情感依附、男性理性主導」的性別分工。（3/3）引文：「Cry for me, cry for me, you said you'd die for me / Give to me, give to me, why won't you live for me?」、「I keep lettin' you back in (lettin' you back in) / How can I, explain myself?」、「A song for y'all to cut up to, you know?」
7. 表面上鼓吹女性不必討好男人，實際上男性敘事者仍不斷以「gotta」句式規定她該做什麼，連「獨立」的展演也被導向自拍角度與炫耀，形成「以賦權之名行指揮之實」的矛盾，使女力訊息滑向「為被觀看而展示」的框架。（3/3）引文：「You gotta, be nice for what, to these niggas?」、「Gotta hit the club like you hit them mothafuckin' angles / With your phone out, snappin' like you Fabo」
僅單獨提及：男性敘事者穿插自我吹噓、宣示對女性的「擁有」，流露性征服式的男性氣概炫耀（「Your boy! (I had!) / I made!」）。",✓,✓,✓,,,✓,,,✓,✓,✓,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,✓,,,,,✓,,,,,,✓,,,
No,Meghan Trainor,female,"All my ladies, listen up
All my ladies, listen up / If that boy ain't giving up
Lick your lips and swing your hips
Lick your lips and swing your hips / Girl all you gotta say is...","1. 歌詞在教導女性拒絕糾纏時，仍要求她們做出性感化的身體展演，暗示女性即使在說「不」的時刻也必須維持舔唇、擺臀等取悅男性視線的姿態，構成自我物化並延續「女性隨時應保持性吸引力」的規訓；且這類動作在文化慣例中常被解讀為調情，與明確拒絕並置反而模糊了拒絕的訊息，削弱「不就是不」的力道，可能被解讀為「欲拒還迎」，甚至被挪用來支持「她嘴上說不、身體卻在邀請」的危險論述，與整首歌的核心主張自相矛盾。(3/3)引文：「All my ladies, listen up / If that boy ain't giving up / Lick your lips and swing your hips / Girl all you gotta say is...」、「My name is no, my sign is no, my number is no」
僅單獨提及：面對不肯放棄的糾纏者，歌詞僅建議女性不斷重複拒絕、自行消化應對，將處理騷擾的責任放在被騷擾者身上，而未質疑男性持續糾纏、不接受拒絕的行為本身。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,✓,
No Guidance,Chris Brown Featuring Drake,male,Ain't never got you nowhere bein' modest,"1. 開場即將女性化約為性征服的對象，把性行為當作對她的「達成事項」，同時預先撇清生育與陪伴的責任，暗示可能拋下對方、後果由女方承擔。（3/3）引文：「Before I die I'm tryna fuck you, baby / Hopefully we don't have no babies」、「Hopefully, I don't leave you on your own」。
2. 大量使用幼體化、寵物化的稱呼，將成年女性矮化為「小東西」「小寶貝」，削弱其主體性。（3/3）引文：「Pretty lil' thing, you got a bag and now you wildin'」、「Lil' baby in her bag, in her Birkin」、「Baby girl, you got it, girl」、「You a lil' hot girl, you a lil' sweetie」。
3. 對女性的「讚美」高度集中於外貌與性吸引力，以男性凝視評價其「行情」，連她的自信也被歸因於長得好看而非能力或人格。（3/3）引文：「your flex OD, and your sex OD」、「Poppin' shit but only 'cause you know you're poppin', yeah」、「Way they hittin' you, the DM lookin' violent」。
4. 男性敘事者擅自替女方處理、切斷她的人際關係，以指令式口吻剝奪其自主決定權，並宣稱她「只需要我」，展現占有與控制欲。（3/3）引文：「All your stupid exes, they gon' call again / Tell 'em that a real nigga steppin' in」、「Tell 'em that it's over, ain't no debatin'」、「All you need is me playin' on your playlist」。
5. 以「冠夫姓」作為男方隨口施予的獎賞，複製父權婚姻中女性從屬於男性姓氏的結構，且語氣輕率（與髒話並置、意指順手隨便）。（3/3）引文：「Fuck around, give you my last name」。
6. 明顯的性別雙重標準：男方自承四處留情、追求自由，卻期待女方專一守候、為他「鎖定」。（3/3）引文：「I know I get around 'cause I like to move freely / But you could lock it down, I could tell by how you treat me」。
7. 套用「瘋女人」的厭女刻板印象，將女性標籤為情緒不穩，並在病理化的同時將其「瘋」轉化為供男性玩味的情趣。（3/3）引文：「I can tell you crazy, but shit kind of intrigue me」。
8. 將女性在社群媒體上的身體影像視為可供索取、實地「驗貨」的消費品，是典型的男性凝視與物化。（3/3）引文：「Seen it on the 'gram, I'm tryna see that shit in 3D, mami」。
9. 以女方過去對待前任的方式暗示她是危險、會傷害男人的存在，複製「蛇蠍女人」敘事，並要求她對自己「手下留情」，隱含女性應柔順、體貼男性感受的期待。（3/3）引文：「I seen how you did homeboy, so please take it easy」、「I seen how you did homeboy, please take it easier on me」。
僅單獨提及：以汽車商品「無里程數」比喻女性，將其價值繫於全新未被使用的狀態，物化女體並隱含貞潔崇拜、表面上「women power」式的成就肯定通篇被置於男性求歡框架之中，使女性的成就淪為性追求的鋪陳且其價值仍由男性凝視核可。",✓,✓,,,,,,✓,,✓,,✓,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,✓,,,,,,,,,,✓,,✓,,
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,mixed,"Fuck him then I get some money
You know me, Cardi B","1. 男性敘事者以性行為次數為量表來「評級」與決定對待女性的方式（玩弄、喜歡、娶回家），將女性物化為可依性表現分級的客體，婚姻亦被描繪成男方單方面給予的獎賞（3/3）——「If I hit it one time I'ma pipe her / If I hit it two times then I like her / If I fuck three times I'ma wife her」。
2. 以「掠食者」姿態渲染對女性的威脅感，將女性描繪為無差別的狩獵對象並以膚色分類，把「對女性不安全」當成炫耀資本（3/3）——「It ain't safe for the black or the white girls / It ain't safe / It ain't safe」。
3. 大量使用貶抑女性的詞彙（bitch、hoe、bopper），將女性描寫為可召之即來、揮之即去、可隨意驅趕丟棄的物件，並以「your bitch」的說法把女性當成男性的所有物與男性之間較勁羞辱的戰利品（3/3）——「It's been three days in a row, your bitch coming over / Told that bitch to kick rock, she act like it's a boulder」、「She's a bopper」、「Hoe stirring up the pot, Jambalaya」、「Bitch lying on me like she tired」。
4. 反覆以金錢交換性關係的邏輯框架兩性關係，暗示女性親近男性的動機與回報皆是錢，親密關係被化約為交易（3/3）——「Fuck with me and get some money, yeah ayy / Fuck with me and get some money」。
5. 炫耀性征服的「數量」，將女性化為可計數、可替換的戰利品，並利用歌手與粉絲間的權力不對等把粉絲當作性資源（3/3）——「I can pull a million girls from a mic stand」、「Pull one at my show 'cause I like fans / Later on I got two in my night plans」、「Man, this year I had three hundred one night stands」。
6. 對女性發言權的貶斥與噤聲，將女性的批評一律矮化為「攀附」，並語帶羞辱地命令對方滾開（2/3）——「Bitch, you on my dick / Bitch, get off it」。
7. 歌中女性聲部雖展現性自主與事業、金錢主導權，但在攻擊其他女性時同樣沿用厭女語彙（hoes、bitch）與蕩婦羞辱式言語，複製了以貶低同性來自我抬升的父權邏輯與貶稱結構（3/3）——「These hoes jogging in place / Swear these hoes run they mouth / How these hoes out of shape?」、「Bitch I ain't Jared」。
僅單獨提及:對男性施加「以金錢與性能力證明自身」的壓力，複製父權對男子氣概的單一想像、女性聲部同樣落入「性—金錢—奢侈品」的交換邏輯，將自身價值錨定於以性換取物質，未跳脫女體商品化敘事。",,,,✓,,,,,✓,,,,✓,,,,,,,,,,,,,,,✓,,✓,✓,✓,,,✓,,,,,,✓,,
No Tears Left To Cry,Ariana Grande,female,"Ain't got no tears left to cry / So I'm pickin' it up, pickin' it up",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh My God,Adele,female,"I am a grown woman and I do what I want to do
I don't have to explain myself to you",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On My Mama,Victoria Monet,female,"Done bein' the humble type
I put that on my own mama, on my hood","1. 使用貶抑女性的詞彙「hoes」指稱其他女性，並將女性描繪成嫉妒、敵視主角、以外貌與性吸引力競爭的一群，複製「女人為敵」的厭女框架（3/3）：「Hoes they hope she's left to right」。
2. 開頭段落以他者打量的視角將女性化約為身體部位加以評價與物化，將女性價值窄化為臀部與身材，甚至把這種評價延伸至母女之間的「遺傳」，並緊接性暗示的搭訕（3/3）：「When they said she get it from her mama / I must say you fuckin' right / Body, booty's on polite」、「Tell me, is you down? / 'Cause I'm tryna go up tonight」。
3. 特別點名女性群體召喚用藥狂歡，將「女性同樂」與藥物綁定，並在脈絡上與性場景並置，把女性置於易受剝削的情境，模糊性自主與同意的界線（3/3）：「Permanent ecstasy (Oh) / Ladies, it's pills tonight」、「Livin' inside a dream (Oh) / Let's lay where the lover's lie」。
4. 歌中的自信與自我肯定幾乎完全建立在外貌與被慾望的性吸引力之上，以能否被性佔有來衡量自身魅力，實際上仍複製男性凝視的評價體系；即便有「your opinion is irrelevant」的宣示，其賦權座標仍不脫「女性價值＝外貌與性魅力」的單一標準（3/3）：「I look fly, I look good」（全曲反覆多次）、「They say, ""Ooh, she smell good""」、「Sex game go stupid」、「But I, I know you think I'm fine-e-e / Might be too fine to hit it from behind-d-d」。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,✓,✓,,,,✓,,,,✓,,,,,,✓,,,,,,,✓,
One Of Them Girls,Lee Brice,male,"You one of them girls, broke every heart in your hometown","1. 將女性明確的拒絕詮釋為欲擒故縱的測試遊戲，否定「不就是不」的同意原則，暗示拒絕不必當真（3/3）。引文：「Ask you to dance, you say ""No"" just to see how far I'll go」。
2. 把女性設定的情感界線描述為男性必須「攻破」的障礙，呈現追求即征服的敘事，並暗示可藉酒精降低對方防備、推進追求（3/3）。引文：「You got your heart on lock down, got a wall I gotta knock down」、「Kinda wanna do a shot now, come on now」。
3. 將女性的自主選擇（不給電話號碼、不想認識任何人）曲解為刻意挑逗男性的心機，把男性的慾望與想像歸咎於女方的「操弄」，且明知對方已表達無意結識仍持續追求（3/3）。引文：「You're one of them girls that ain't handin' out your number / You like to make us want you, you like to make us wonder」、「one of them girls that ain't tryna meet nobody」。
4. 全曲反覆以「one of them girls」為女性分類貼標，把個別女性化約為一種可供男性辨認與慾望的「類型」，女方沒有名字，只是一組符合男性想像的特徵清單（3/3）。引文：「Are you one of them girls that peels off the Bud Light label? Just might run a pool table?」、「ain't you one of them girls?」。
5. 以男性凝視物化女性，將其價值建立在安靜、性感、毫不費力等被動悅目的特質上，女性的沉默被消費為性吸引力，並以「act」暗示女性特質是演給男性看的表演（3/3）。引文：「one of them girls who likes to act all quiet, sexy, not even tryin' / Yeah, you know I ain't lyin', damn right」。
6. 在對方未表示同意、全曲唯一明確表態是拒絕的情況下，單方面宣告對其身體的慾望與佔有意圖，將女性視為慾望客體（3/3）。引文：「You're one of them girls / I wanna put my lips on / Hold all night long」。
7. 全曲為男性單一視角的獨白，敘事者自認能代言女方「真實心意」、單方面定義其意圖與身分；「如果我錯了就阻止我」的說法把踩剎車的責任推給女性、預設沉默即同意，僅是修辭上的讓步，女性從頭到尾沒有自己的聲音（3/3）。引文：「Your song comes on and your eyes close, that's when I know, yeah」、「You're just here for the party, if I'm wrong then stop me, yeah」。
8. 使用「紅顏禍水」式套語，將眾多男性的心碎與情感失落歸咎於女方本身的存在與離開，強化「女人令男人痛苦」的刻板敘事（2/3）。引文：「You one of them girls, broke every heart in your hometown / On the day you rode out, got 'em all wishin' on stars now」。",,,✓,,,,✓,✓,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,✓,,,,,,,✓,,,
